,product_url,product_id,discounted,actualPrice,Frame Finish,Lens Finish,Lens Color,Brand,Frame Color,Frame Material,Frame Shape,Frame Size,Frame Type,Lens Size,Bridge Size,Gender,Type,Virtual TryOn,Frame Width,discountedPrice,Diameter,Base Curve,Water Content,Oxygen Permeability,Lens Material,UV Protection,Contact Lens Replacement,Contact Lens Type,Contact Lens Use,Package Size
Anesthesia - USA - 2 lenses - Chicago Green,https://eyewa.com/ae-en/anesthesia-usa-pack-of-2-chicago-green.html,12692,yes,221,,,,Anesthesia,,,,,,,,,,,,162,14.2 mm,8.6,38%,,,,6 months,Color Contact Lenses,Beauty,Pack of 2 lenses
Layala Lenses - 2 Lenses - Platinum Gray,https://eyewa.com/ae-en/layala-lenses-pack-of-2-platinum-gray.html,13697,no,149,,,,Layala,,,,,,,,,,,,,"14.0 mm, 14.2 mm, 14.5 mm",8.6,38%,,,,3 months,Color Contact Lenses,Beauty,Pack of 2 lenses
Lensme 2019 Collection - 2 lenses - Smokey,https://eyewa.com/ae-en/lensme-2019-collection-pack-of-2-smokey.html,12745,no,150,,,,Lensme,,,,,,,,,,,,,14.2 mm,8.6,38%,,,,6 months,Color Contact Lenses,Beauty,Pack of 2 lenses
Anesthesia - Anesthatic - 2 lenses - Aqua,https://eyewa.com/ae-en/anesthesia-anesthatic-pack-of-2-aqua.html,12678,yes,175,,,,Anesthesia,,,,,,,,,,,,152,14.2 mm,8.6,38%,,,,6 months,Color Contact Lenses,Beauty,Pack of 2 lenses
La Loggia Frutti - 2 lenses - Passiflora,https://eyewa.com/ae-en/la-loggia-frutti-pack-of-2-passiflora.html,12436,no,120,,,,La Loggia,,,,,,,,,,,,,14.2 mm,8.6,60%,,,,Monthly,Color Contact Lenses,Beauty,Pack of 2 lenses
FreshLook One-Day Colorblends - Pack of 30 - Blue,https://eyewa.com/ae-en/freshlook-one-day-colorblends-pack-of-30-blue.html,11946,yes,215,,,,FreshLook,,,,,,,,,,,,189,13.8 mm,8.6,69%,,,,Daily,Color Contact Lenses,Beauty,Pack of 30 lenses
Bella Glow - 2 lenses - Husky Gray Green,https://eyewa.com/ae-en/bella-glow-pack-of-2-husky-gray-green.html,11910,no,149,,,,Bella,,,,,,,,,,,,,14.5 mm,8.6,38%,,,,Monthly,Color Contact Lenses,Beauty,Pack of 2 lenses
Anesthesia - Addict - 2 lenses - Blue,https://eyewa.com/ae-en/anesthesia-addict-pack-of-2-blue.html,12671,yes,175,,,,Anesthesia,,,,,,,,,,,,152,14.2 mm,8.6,38%,,,,6 months,Color Contact Lenses,Beauty,Pack of 2 lenses
La Loggia Frutti - 2 lenses - Mirtilo,https://eyewa.com/ae-en/la-loggia-frutti-pack-of-2-mirtilo.html,12436,no,120,,,,La Loggia,,,,,,,,,,,,,14.2 mm,8.6,60%,,,,Monthly,Color Contact Lenses,Beauty,Pack of 2 lenses
FreshLook Colorblends - 2 lenses - Brilliant Blue,https://eyewa.com/ae-en/freshlook-colorblends-pack-of-2-brilliant-blue.html,11945,yes,140,,,,FreshLook,,,,,,,,,,,,113,14.5 mm,8.6,69%,,,,Monthly,Color Contact Lenses,Beauty,Pack of 2 lenses
