,product_url,product_id,discounted,actualPrice,Frame Finish,Lens Finish,Lens Color,Brand,Frame Color,Frame Material,Frame Shape,Frame Size,Frame Type,Lens Size,Bridge Size,Gender,Type,Virtual TryOn,Frame Width,discountedPrice,Diameter,Base Curve,Water Content,Oxygen Permeability,Lens Material,UV Protection,Contact Lens Replacement,Contact Lens Type,Contact Lens Use,Package Size
Spectus BRYSON,https://eyewa.com/ae-en/spectus-bryson-000186-1300.html,58790,no,399,Glossy,,Clear,Spectus,Tortoise,Acetate,Rectangle,Wide (>139 mm),Full Rim,39 mm,15 mm,Men,Glasses,Yes,140 mm,,,,,,,,,,,
Puma PU0310O,https://eyewa.com/ae-en/puma-pu0310o-004-blue.html,63724,no,559,Glossy,,Clear,PUMA,Blue,Acetate,Rectangle,Wide (>139 mm),Full Rim,53 mm,16 mm,Women,Glasses,No,,,,,,,,,,,,
Babamio DASH Kids Ages - 2-4 Years,https://eyewa.com/ae-en/babamio-dash-kids-ages-2-4-years-000147-1102.html,69084,no,399,,,Clear,Babamio,Black,Acetate,Rectangle,Narrow (< 131 mm),Full Rim,48 mm,15 mm,Kids,Glasses,No,34 mm,,,,,,,,,,,
Ray-Ban - 0RX1972V,https://eyewa.com/ae-en/ray-ban-0rx1972v-3086.html,69113,no,629,,,Clear,Ray-Ban,Gold,Metal,Irregular,Wide (>139 mm),Full Rim,51 mm,19 mm,"Men, Women",Glasses,No,,,,,,,,,,,,
Ray-Ban - 0RX6444,https://eyewa.com/ae-en/ray-ban-0rx6444-2501.html,63116,no,539,Glossy,,Clear,Ray-Ban,Silver,Metal,Square,Wide (>139 mm),Full Rim,51 mm,18 mm,"Men, Women",Glasses,No,,,,,,,,,,,,
Vogue - 0VO5292,https://eyewa.com/ae-en/vogue-0vo5292-w656.html,69249,no,459,,,Clear,Vogue,Purple,Metal + Acetate,Cat Eye,Wide (>139 mm),Full Rim,53 mm,18 mm,Women,Glasses,No,,,,,,,,,,,,
Vogue - 0VO5275B,https://eyewa.com/ae-en/vogue-0vo5275b-2636.html,63104,no,499,Glossy,,Clear,Vogue,Red,Metal + Acetate,Cat Eye,Wide (>139 mm),Full Rim,52 mm,19 mm,Women,Glasses,No,,,,,,,,,,,,
Stella McCartney SC0246O-4,https://eyewa.com/ae-en/stella-mccartney-sc0246o-4-30008734004.html,69233,no,1299,,,Clear,Stella McCartney,Tortoise,Acetate,Square,Wide (>139 mm),Full Rim,51 mm,17 mm,Women,Glasses,No,145 mm,,,,,,,,,,,
Stella McCartney SC0125O-6,https://eyewa.com/ae-en/stella-mccartney-sc0125o-6-30002532006.html,69230,no,1299,,,Clear,Stella McCartney,Gold,Metal,Aviator,Wide (>139 mm),Full Rim,57 mm,14 mm,Women,Glasses,No,145 mm,,,,,,,,,,,
Stella McCartney SC0124O-6,https://eyewa.com/ae-en/stella-mccartney-sc0124o-6-30002530006.html,69229,no,1299,,,Clear,Stella McCartney,Gray,Metal,Mask,Wide (>139 mm),Full Rim,57 mm,15 mm,Women,Glasses,No,145 mm,,,,,,,,,,,
Stella McCartney SC0124O-5,https://eyewa.com/ae-en/stella-mccartney-sc0124o-5-30002530005.html,69229,no,1299,,,Clear,Stella McCartney,Gray,Metal,Mask,Wide (>139 mm),Full Rim,57 mm,15 mm,Women,Glasses,No,145 mm,,,,,,,,,,,
McQ MQ0260O,https://eyewa.com/ae-en/mcq-mq0260o.html,60258,no,769,Matte,,Clear,McQ,Gray,Metal,Round,Wide (>139 mm),Full Rim,55 mm,16 mm,"Men, Women",Glasses,No,150 mm,,,,,,,,,,,
McQ MQ0270O,https://eyewa.com/ae-en/mcq-mq0270o.html,60255,no,769,Matte,,Clear,McQ,Gray,Metal,Oval,Wide (>139 mm),Full Rim,58 mm,12 mm,Men,Glasses,No,150 mm,,,,,,,,,,,
PUMA PE0140O,https://eyewa.com/ae-en/puma-pe0140o-003.html,69110,no,349,,,Clear,PUMA,Pink,Metal,Rectangle,Normal (132-138 mm),Full Rim,52 mm,17 mm,"Men, Women",Glasses,No,135 mm,,,,,,,,,,,
Spectus DANA,https://eyewa.com/ae-en/spectus-dana-eye-glasses-000146-2600.html,69144,no,399,,,Clear,Spectus,Tortoise,Acetate,Rectangle,Wide (>139 mm),Full Rim,55 mm,17 mm,Women,Glasses,No,145 mm,,,,,,,,,,,
Spectus PEARL,https://eyewa.com/ae-en/spectus-pearl-eye-glasses-000129-1010.html,59609,no,399,Matte,,Clear,Spectus,Tortoise,Acetate,Rectangle,Wide (>139 mm),Full Rim,50 mm,18 mm,Women,Glasses,No,142 mm,,,,,,,,,,,
Spectus JOANNA,https://eyewa.com/ae-en/spectus-joanna-eye-glasses-000126-0400.html,69133,no,399,,,Clear,Spectus,Tortoise,Acetate,Rectangle,Wide (>139 mm),Full Rim,53 mm,18 mm,Women,Glasses,No,142 mm,,,,,,,,,,,
Spectus AYLA,https://eyewa.com/ae-en/spectus-ayla-eye-glasses-000116-0400.html,59605,no,399,Glossy,,Clear,Spectus,Tortoise,Acetate,Rectangle,Wide (>139 mm),Full Rim,52 mm,18 mm,Women,Glasses,No,140 mm,,,,,,,,,,,
Spectus ZEINA,https://eyewa.com/ae-en/spectus-zeina-eyeglasses-000132-0100.html,69136,no,399,,,Clear,Spectus,Black,Acetate,Rectangle,Wide (>139 mm),Full Rim,52 mm,17 mm,Women,Glasses,No,140 mm,,,,,,,,,,,
Spectus AVA,https://eyewa.com/ae-en/spectus-ava-eye-glasses-000141-1300.html,59599,no,399,Glossy,,Clear,Spectus,Brown,Acetate,Rectangle,Wide (>139 mm),Full Rim,52 mm,17 mm,Women,Glasses,No,140 mm,,,,,,,,,,,
Spectus ROXANNE,https://eyewa.com/ae-en/spectus-roxanne-eye-glasses-tf1455-49-002.html,69219,no,399,,,Clear,Spectus,Black,Acetate,Round,Wide (>139 mm),Full Rim,49 mm,20 mm,Women,Glasses,No,142 mm,,,,,,,,,,,
Spectus VALERIE,https://eyewa.com/ae-en/spectus-valerie-eye-glasses-000130-0102.html,69134,no,399,,,Clear,Spectus,Black,Acetate,Round,Wide (>139 mm),Full Rim,49 mm,19 mm,Women,Glasses,No,140 mm,,,,,,,,,,,
Spectus BROOKLYN,https://eyewa.com/ae-en/spectus-brooklyn-eye-glasses-000106-0400.html,69125,no,399,,,Clear,Spectus,Blue,Acetate,Square,Wide (>139 mm),Full Rim,56 mm,16 mm,Men,Glasses,No,145 mm,,,,,,,,,,,
Spectus DALLAS,https://eyewa.com/ae-en/spectus-dallas-eye-glasses-000103-0400.html,59562,no,399,Glossy,,Clear,Spectus,Brown,Acetate,Square,Wide (>139 mm),Full Rim,54 mm,16 mm,Men,Glasses,No,140 mm,,,,,,,,,,,
Spectus DANNIE,https://eyewa.com/ae-en/spectus-dannie-eye-glasses-tf1440-53-004.html,69216,no,399,,,Clear,Spectus,Black,Acetate,Square,Wide (>139 mm),Full Rim,53 mm,17 mm,Men,Glasses,No,140 mm,,,,,,,,,,,
Spectus ADAM,https://eyewa.com/ae-en/spectus-adam-eye-glasses-000110-0111.html,69128,no,399,,,Clear,Spectus,Black,Acetate,Square,Wide (>139 mm),Full Rim,54 mm,18 mm,Men,Glasses,No,142 mm,,,,,,,,,,,
Spectus STEPHEN,https://eyewa.com/ae-en/spectus-stephen-eyeglasses-000111-0100.html,69129,no,399,,,Clear,Spectus,Black,Acetate,Square,Wide (>139 mm),Full Rim,51 mm,20 mm,Men,Glasses,No,142 mm,,,,,,,,,,,
Spectus THEO,https://eyewa.com/ae-en/spectus-theo-eye-glasses-000167-1300.html,69151,no,399,,,Clear,Spectus,Black,Acetate,Rectangle,Wide (>139 mm),Full Rim,48 mm,19 mm,Men,Glasses,No,140 mm,,,,,,,,,,,
Spectus BERNIE,https://eyewa.com/ae-en/spectus-bernie-eyeglasses-tf1452-54-001.html,69218,no,399,,,Clear,Spectus,Black,Metal + Acetate,Rectangle,Wide (>139 mm),Full Rim,54 mm,17 mm,Men,Glasses,No,140 mm,,,,,,,,,,,
Spectus AUSTIN,https://eyewa.com/ae-en/spectus-austin-eye-glasses-tf1370-54-004.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spectus RYAN,https://eyewa.com/ae-en/spectus-ryan-eyeglasses-000109-0100.html,69127,no,399,,,Clear,Spectus,Black,Acetate,Rectangle,Wide (>139 mm),Full Rim,55 mm,14 mm,Men,Glasses,No,142 mm,,,,,,,,,,,
Spectus PETER,https://eyewa.com/ae-en/spectus-peter-eye-glasses-000159-0104.html,,,,,,Clear,Spectus,Black,Acetate,Rectangle,Wide (>139 mm),Full Rim,52 mm,22 mm,Men,Glasses,No,140 mm,,,,,,,,,,,
Spectus BRANDON,https://eyewa.com/ae-en/spectus-brandon-eye-glasses-000153-2602.html,69146,no,399,,,Clear,Spectus,Black,Acetate,Rectangle,Wide (>139 mm),Full Rim,50 mm,17 mm,Men,Glasses,No,140 mm,,,,,,,,,,,
Spectus REESE,https://eyewa.com/ae-en/spectus-reese-eye-glasses-000101-0111.html,59525,no,399,Matte,,Clear,Spectus,Black,Acetate,Rectangle,Wide (>139 mm),Full Rim,54 mm,16 mm,Men,Glasses,No,140 mm,,,,,,,,,,,
Spectus LENNOX,https://eyewa.com/ae-en/spectus-lennox-eye-glasses-000100-0104.html,69122,no,399,,,Clear,Spectus,Red,Acetate,Round,Wide (>139 mm),Full Rim,48 mm,20 mm,Men,Glasses,No,145 mm,,,,,,,,,,,
Spectus RILEY,https://eyewa.com/ae-en/spectus-riley-eye-glasses-eye-glasses-000102-0102.html,69123,no,399,,,Clear,Spectus,Black,Acetate,Round,Wide (>139 mm),Full Rim,52 mm,16 mm,Men,Glasses,No,145 mm,,,,,,,,,,,
Babamio JODY - Kids Ages 5-8,https://eyewa.com/ae-en/babamio-jody-kids-ages-5-8-eye-glasses-000109-0115.html,69072,no,399,,,Clear,Babamio,Black,Acetate,Square,Narrow (< 131 mm),Full Rim,45 mm,16 mm,Kids,Glasses,No,130 mm,,,,,,,,,,,
Babamio FELIX - Kids Ages 5-8,https://eyewa.com/ae-en/babamio-felix-kids-ages-5-8-eye-glasses-tf1464-48-004.html,59510,no,399,Matte,,Clear,Babamio,Blue,Plastic,Rectangle,Normal (132-138 mm),Full Rim,48 mm,19 mm,Kids,Glasses,No,135 mm,,,,,,,,,,,
Babamio ROYAL - Kids Ages 5-8,https://eyewa.com/ae-en/babamio-royal-kids-ages-5-8-eye-glasses-000145-0214.html,59506,no,399,Glossy,,Clear,Babamio,Purple,Acetate,Cat Eye,Narrow (< 131 mm),Full Rim,48 mm,16 mm,Kids,Glasses,No,130 mm,,,,,,,,,,,
Babamio JULIAN - Kids Ages 5-8,https://eyewa.com/ae-en/babamio-julian-kids-ages-5-8-eye-glasses-000111-0211.html,69074,no,399,,,Clear,Babamio,Black,Acetate,Cat Eye,Narrow (< 131 mm),Full Rim,48 mm,14 mm,Kids,Glasses,No,130 mm,,,,,,,,,,,
Babamio REMI - Kids Ages 5-8,https://eyewa.com/ae-en/babamio-remi-eyeglasses-kids-ages-5-8-000102-0211.html,69067,no,399,,,Clear,Babamio,Black,Acetate,Cat Eye,Narrow (< 131 mm),Full Rim,47 mm,16 mm,Kids,Glasses,No,130 mm,,,,,,,,,,,
Babamio LEXI - Kids Ages 9-14,https://eyewa.com/ae-en/babamio-lexi-eyeglasses-kids-ages-9-14-000103-0100.html,69068,no,399,,,Clear,Babamio,Black,Acetate,Cat Eye,Normal (132-138 mm),Full Rim,43 mm,18 mm,Kids,Glasses,No,138 mm,,,,,,,,,,,
Babamio TWINKLE - Kids Ages 5-8,https://eyewa.com/ae-en/babamio-twinkle-eyeglasses-kids-ages-5-8-000116-0102.html,59425,no,399,Glossy,,Clear,Babamio,Black,Plastic,Rectangle,Narrow (< 131 mm),Full Rim,46 mm,16 mm,Kids,Glasses,No,130 mm,,,,,,,,,,,
Spectus SPENCER,https://eyewa.com/ae-en/spectus-spencer-eyeglasses-000107-0100.html,69126,no,399,,,Clear,Spectus,Black,Acetate,Rectangle,Wide (>139 mm),Full Rim,53 mm,17 mm,Men,Glasses,No,142 mm,,,,,,,,,,,
Spectus MARSHALL,https://eyewa.com/ae-en/spectus-marshall-eyeglasses-tf1526-47-003.html,69221,no,399,,,Clear,Spectus,Black,Acetate,Round,Normal (132-138 mm),Full Rim,47 mm,19 mm,Men,Glasses,No,140 mm,,,,,,,,,,,
Spectus BRODY,https://eyewa.com/ae-en/spectus-brody-eyeglasses-tf1324-54-007.html,69210,no,399,,,Clear,Spectus,Blue,Acetate,Rectangle,Wide (>139 mm),Full Rim,54 mm,16 mm,Men,Glasses,No,145 mm,,,,,,,,,,,
Spectus MARYAN,https://eyewa.com/ae-en/spectus-maryan-eyeglasses-000149-1300.html,69145,no,399,,,Clear,Spectus,Tortoise,Acetate,Rectangle,Wide (>139 mm),Full Rim,50 mm,18 mm,Women,Glasses,No,140 mm,,,,,,,,,,,
Spectus VANESSA,https://eyewa.com/ae-en/spectus-vanessa-eyeglasses-000118-0400.html,59411,no,399,Glossy,,Clear,Spectus,Tortoise,Acetate,Round,Wide (>139 mm),Full Rim,51 mm,18 mm,Women,Glasses,No,145 mm,,,,,,,,,,,
30Sundays LIFT OFF,https://eyewa.com/ae-en/30sundays-lift-off-eyeglasses-000104-0707.html,69061,no,399,,,Clear,30Sundays,Gold,Metal,Aviator,Wide (>139 mm),Full Rim,55 mm,17 mm,Women,Glasses,No,140 mm,,,,,,,,,,,
30Sundays GOOD VIBES,https://eyewa.com/ae-en/30sundays-good-vibes-eyeglasses-000107-0404.html,59407,no,399,Matte,,Clear,30Sundays,Brown,Acetate,Round,Wide (>139 mm),Full Rim,50 mm,21 mm,Women,Glasses,No,140 mm,,,,,,,,,,,
30Sundays SURFS UP,https://eyewa.com/ae-en/30sundays-surfs-up-eyeglasses-000106-0916.html,59405,no,399,Matte,,Clear,30Sundays,Pink,Acetate,Round,Wide (>139 mm),Full Rim,48 mm,21 mm,Women,Glasses,No,140 mm,,,,,,,,,,,
Spectus WILFRED,https://eyewa.com/ae-en/spectus-wilfred-eyeglasses-tf1475-54-003.html,69220,no,399,,,Clear,Spectus,Black,Metal + Acetate,Rectangle,Wide (>139 mm),Full Rim,54 mm,17 mm,Men,Glasses,No,140 mm,,,,,,,,,,,
Spectus BERNARD,https://eyewa.com/ae-en/spectus-bernard-eyeglasses-tf1370-54-002.html,59375,no,399,Glossy,,Clear,Spectus,Gray,Acetate,Rectangle,Normal (132-138 mm),Full Rim,54 mm,20 mm,Men,Glasses,No,143 mm,,,,,,,,,,,
Spectus WENDY,https://eyewa.com/ae-en/spectus-wendy-eyeglasses-000134-1300.html,69138,no,399,,,Clear,Spectus,Black,Acetate,Cat Eye,Wide (>139 mm),Full Rim,53 mm,17 mm,Women,Glasses,No,145 mm,,,,,,,,,,,
Spectus JOAN,https://eyewa.com/ae-en/spectus-joan-eyeglasses-tf1551-50-002.html,69226,no,399,,,Clear,Spectus,Black,Metal + Acetate,Round,Normal (132-138 mm),Full Rim,50 mm,18 mm,Women,Glasses,No,135 mm,,,,,,,,,,,
Spectus NOOR,https://eyewa.com/ae-en/spectus-noor-000170-1413.html,69153,no,399,,,Clear,Spectus,Black,Acetate,Rectangle,Wide (>139 mm),Full Rim,53 mm,18 mm,Women,Glasses,No,140 mm,,,,,,,,,,,
Spectus KAYDEN,https://eyewa.com/ae-en/spectus-kayden-000187-0100.html,69163,no,399,,,Clear,Spectus,Black,Acetate,Rectangle,Wide (>139 mm),Full Rim,42 mm,20 mm,Men,Glasses,No,145 mm,,,,,,,,,,,
Babamio PATTY - Kids Ages 5-8,https://eyewa.com/ae-en/babamio-patty-kids-ages-5-8-000121-0200.html,58769,no,399,Glossy,,Clear,Babamio,Blue,Acetate,Rectangle,Narrow (< 131 mm),Full Rim,45 mm,18 mm,Kids,Glasses,No,128 mm,,,,,,,,,,,
Spectus VERONICA,https://eyewa.com/ae-en/spectus-veronica-000181-0100.html,58760,no,399,Glossy,,Clear,Spectus,Black,Acetate,Rectangle,Wide (>139 mm),Full Rim,51 mm,16 mm,Women,Glasses,No,140 mm,,,,,,,,,,,
Babamio BETTY - Kids Ages 5-8,https://eyewa.com/ae-en/babamio-betty-tf1349-47-004.html,58491,no,399,Glossy,,Clear,Babamio,Blue,Plastic,Rectangle,Narrow (< 131 mm),Full Rim,47 mm,16 mm,Kids,Glasses,No,127 mm,,,,,,,,,,,
Spectus LIZZY,https://eyewa.com/ae-en/spectus-lizzy-tf1548-54-003.html,69225,no,399,,,Clear,Spectus,Black,Acetate,Cat Eye,Normal (132-138 mm),Full Rim,54 mm,17 mm,Women,Glasses,No,140 mm,,,,,,,,,,,
Spectus TANNER,https://eyewa.com/ae-en/spectus-tanner-tf1391-48-002.html,58478,no,399,Glossy,,Clear,Spectus,Tortoise,Acetate,Round,Wide (>139 mm),Full Rim,48 mm,20 mm,"Men, Women",Glasses,No,140 mm,,,,,,,,,,,
Spectus SHANE,https://eyewa.com/ae-en/spectus-shane-tf1325-52-002.html,69211,no,399,,,Clear,Spectus,Blue,Acetate,Round,Wide (>139 mm),Full Rim,52 mm,20 mm,Men,Glasses,No,145 mm,,,,,,,,,,,
Spectus SIDNEY,https://eyewa.com/ae-en/spectus-sidney-tf1323-48-004.html,69209,no,399,,,Clear,Spectus,Tortoise,Acetate,Round,Wide (>139 mm),Full Rim,48 mm,21 mm,"Men, Women",Glasses,No,145 mm,,,,,,,,,,,
Spectus BELLAMY,https://eyewa.com/ae-en/spectus-bellamy-tf1260-56-002.html,58471,no,399,Glossy,,Clear,Spectus,Blue,Metal,Rectangle,Wide (>139 mm),Full Rim,56 mm,16 mm,Men,Glasses,No,140 mm,,,,,,,,,,,
Artlife BOHR,https://eyewa.com/ae-en/artlife-bohr-al68316203.html,69062,no,399,,,Clear,Artlife,Black,Metal,Square,Wide (>139 mm),Full Rim,49 mm,21 mm,Men,Glasses,No,145 mm,,,,,,,,,,,
Spectus Rayner,https://eyewa.com/ae-en/spectus-rayner-tf1477-54-002.html,58294,no,399,Glossy,,Clear,Spectus,Tortoise,Acetate,Rectangle,Wide (>139 mm),Full Rim,54 mm,17 mm,Men,Glasses,No,140 mm,,,,,,,,,,,
Artlife MACHADO,https://eyewa.com/ae-en/artlife-machado-al68257625.html,57724,no,399,Matte,,Clear,Artlife,Brown,Acetate,Square,Wide (>139 mm),Full Rim,47 mm,19 mm,Men,Glasses,No,145 mm,,,,,,,,,,,
Mr. Wonderful Blue Square,https://eyewa.com/ae-en/mr-wonderful-blue-square-mw69036543.html,57714,no,399,Glossy,,Clear,Mr. Wonderful,"Blue, Pink",Acetate,Square,Wide (>139 mm),Full Rim,49 mm,19 mm,Women,Glasses,No,140 mm,,,,,,,,,,,
Mr. Wonderful Black Square,https://eyewa.com/ae-en/mr-wonderful-black-square-mw69077512.html,57709,no,399,Glossy,,Clear,Mr. Wonderful,Black,Acetate,Square,Wide (>139 mm),Full Rim,52 mm,17 mm,Women,Glasses,No,140 mm,,,,,,,,,,,
essiKIDS Round White - Kids Ages 9-14,https://eyewa.com/ae-en/essikids-round-white-essi1001c04.html,69107,no,399,,,Clear,essiKIDS,Green,Plastic,Round,Narrow (< 131 mm),Full Rim,47 mm,22 mm,Kids,Glasses,No,131 mm,,,,,,,,,,,
Babamio EMORY - Kids Ages 2-4 Years,https://eyewa.com/ae-en/babamio-emory-kids-ages-2-4-years-000155-1500.html,69087,no,399,,,Clear,Babamio,Blue,Nylon,Round,Narrow (< 131 mm),Full Rim,38 mm,14 mm,Kids,Glasses,No,34 mm,,,,,,,,,,,
Vogue - 0VO5224,https://eyewa.com/ae-en/vogue-0vo5224-1916.html,63102,no,499,Glossy,,Clear,Vogue,Tortoise,Metal + Acetate,Rectangle,Wide (>139 mm),Full Rim,53 mm,16 mm,Women,Glasses,No,,,,,,,,,,,,
Vogue - 0VO5206,https://eyewa.com/ae-en/vogue-0vo5206-w44.html,63101,no,549,Glossy,,Clear,Vogue,Black,Metal + Acetate,Cat Eye,Wide (>139 mm),Full Rim,53 mm,17 mm,Women,Glasses,No,,,,,,,,,,,,
Vogue - 0VO5190,https://eyewa.com/ae-en/vogue-0vo5190-2566.html,63100,no,499,Matte,,Clear,Vogue,Red,Metal + Acetate,Cat Eye,Wide (>139 mm),Full Rim,52 mm,17 mm,Women,Glasses,No,,,,,,,,,,,,
Vogue - 0VO5167,https://eyewa.com/ae-en/vogue-0vo5167-w44.html,63099,no,499,Matte,,Clear,Vogue,Black,Metal + Acetate,Round,Wide (>139 mm),Full Rim,52 mm,20 mm,Women,Glasses,No,,,,,,,,,,,,
Vogue - 0VO4181B,https://eyewa.com/ae-en/vogue-0vo4181b-280.html,63098,no,589,Glossy,,Clear,Vogue,Gold,Metal,Square,Wide (>139 mm),Full Rim,53 mm,17 mm,Women,Glasses,No,,,,,,,,,,,,
Spectus AMARA,https://eyewa.com/ae-en/spectus-amara-000241-0900.html,,,,,,Clear,Spectus,Pink,Metal + Acetate,Cat Eye,Normal (132-138 mm),Full Rim,48 mm,20 mm,Women,Glasses,No,136 mm,,,,,,,,,,,
Spectus MONROE,https://eyewa.com/ae-en/spectus-monroe-000240-1400.html,,,,,,Clear,Spectus,Gray,Acetate,Cat Eye,Normal (132-138 mm),Full Rim,49 mm,19 mm,Women,Glasses,No,133 mm,,,,,,,,,,,
Spectus KARLIE,https://eyewa.com/ae-en/spectus-karlie-000238-1400.html,,,,,,Clear,Spectus,Pink,Metal + Acetate,Round,Normal (132-138 mm),Full Rim,48 mm,22 mm,Women,Glasses,No,137 mm,,,,,,,,,,,
Spectus KIANO,https://eyewa.com/ae-en/spectus-kiano-000230-0700.html,,,,,,Clear,Spectus,Gray,Acetate,Rectangle,Wide (>139 mm),Full Rim,53 mm,17 mm,"Men, Women",Glasses,No,140 mm,,,,,,,,,,,
Spectus ELTON,https://eyewa.com/ae-en/spectus-elton-000244-1404.html,,,,,,Clear,Spectus,Brown,Acetate,Round,Wide (>139 mm),Full Rim,52 mm,17 mm,Men,Glasses,No,141.7 mm,,,,,,,,,,,
Stella McCartney SC0245O-2,https://eyewa.com/ae-en/stella-mccartney-sc0245o-2-30008733002.html,69232,no,1299,,,Clear,Stella McCartney,Tortoise,Acetate,Cat Eye,Wide (>139 mm),Full Rim,50 mm,18 mm,Women,Glasses,No,145 mm,,,,,,,,,,,
Stella McCartney SC0125O-5,https://eyewa.com/ae-en/stella-mccartney-sc0125o-5-30002532005.html,69230,no,1299,,,Clear,Stella McCartney,Gold,Metal,Aviator,Wide (>139 mm),Full Rim,57 mm,14 mm,Women,Glasses,No,145 mm,,,,,,,,,,,
essiKIDS Rectangle Red - Kids Ages 3-8,https://eyewa.com/ae-en/essikids-rectangle-red-essi1002c03.html,69106,no,399,,,Clear,essiKIDS,Pink,Plastic,Rectangle,Narrow (< 131 mm),Full Rim,55 mm,18 mm,Kids,Glasses,No,115 mm,,,,,,,,,,,
essiKIDS Round Green - Kids Ages 9-14,https://eyewa.com/ae-en/round-green-kids-ages-9-14-essi1001c03.html,69107,no,399,,,Clear,essiKIDS,Green,Plastic,Round,Narrow (< 131 mm),Full Rim,47 mm,22 mm,Kids,Glasses,No,131 mm,,,,,,,,,,,
Spectus PAMELA,https://eyewa.com/ae-en/spectus-pamela-000179-0900.html,58756,no,399,Glossy,,Clear,Spectus,Pink,Acetate,Rectangle,Wide (>139 mm),Full Rim,50 mm,20 mm,Women,Glasses,No,145 mm,,,,,,,,,,,
Babamio DEEDEE - Kids Ages 5-8,https://eyewa.com/ae-en/babamio-deedee-kids-ages-5-8-000120-0204.html,58768,no,399,Glossy,,Clear,Babamio,Blue,Acetate,Rectangle,Narrow (< 131 mm),Full Rim,45 mm,18 mm,Kids,Glasses,No,130 mm,,,,,,,,,,,
essiKIDS Rectangle Yellow - Kids Ages 3-8,https://eyewa.com/ae-en/essikids-rectangle-yellow-essi1002c02.html,69106,no,399,,,Clear,essiKIDS,Pink,Plastic,Rectangle,Narrow (< 131 mm),Full Rim,55 mm,18 mm,Kids,Glasses,No,115 mm,,,,,,,,,,,
essiKIDS Round Red - Kids Ages 9-14 ,https://eyewa.com/ae-en/essikids-round-red-essi1001c01.html,69107,no,399,,,Clear,essiKIDS,Green,Plastic,Round,Narrow (< 131 mm),Full Rim,47 mm,22 mm,Kids,Glasses,No,131 mm,,,,,,,,,,,
Spectus Geoffrey,https://eyewa.com/ae-en/spectus-geoffrey-tf1379-53-002.html,58293,no,399,Glossy,,Clear,Spectus,Black,Plastic,Rectangle,Wide (>139 mm),Full Rim,53 mm,16 mm,Men,Glasses,No,140 mm,,,,,,,,,,,
Via Pampa Aero Plane Light Havana Cat Eye,https://eyewa.com/ae-en/via-pampa-aero-plane-light-havana-cat-eye-aerpla02-51.html,69234,no,399,,,Clear,Via Pampa,Black,Plastic,Cat Eye,Normal (132-138 mm),,51 mm,18 mm,"Men, Women",Glasses,No,135 mm,,,,,,,,,,,
Babamio EMERLAND - Kids Ages 5-8,https://eyewa.com/ae-en/babamio-emerland-kids-ages-5-8-000126-0100.html,69079,no,399,,,Clear,Babamio,Black,Acetate,Cat Eye,Narrow (< 131 mm),Full Rim,48 mm,15 mm,Kids,Glasses,No,126 mm,,,,,,,,,,,
Babamio LOULABELLE - Kids Ages 9-14,https://eyewa.com/ae-en/babamio-loulabelle-kids-ages-9-14-eye-glasses-000107-0211.html,69070,no,399,,,Clear,Babamio,Purple,Acetate,Round,Narrow (< 131 mm),Full Rim,44 mm,19 mm,Kids,Glasses,No,130 mm,,,,,,,,,,,
essiKIDS Rectangle Pink - Kids Ages 3-8,https://eyewa.com/ae-en/essikids-rectangle-pink-essi1002c01.html,69106,no,399,,,Clear,essiKIDS,Pink,Plastic,Rectangle,Narrow (< 131 mm),Full Rim,55 mm,18 mm,Kids,Glasses,No,115 mm,,,,,,,,,,,
Artlife GASSET,https://eyewa.com/ae-en/artlife-gasset-al68265103.html,57718,no,399,Matte,,Clear,Artlife,Gray,Metal,Aviator,Wide (>139 mm),Full Rim,57 mm,18 mm,Men,Glasses,No,145 mm,,,,,,,,,,,
Via Pampa Bandera Tatouille Black Round,https://eyewa.com/ae-en/via-pampa-bandera-tatouille-black-round-bandtato10-50.html,69242,no,399,,,Clear,Via Pampa,Blue,Acetate,Round,Normal (132-138 mm),Full Rim,50 mm,18 mm,Women,Glasses,No,135 mm,,,,,,,,,,,
Armani Exchange Tortoise Square,https://eyewa.com/ae-en/armani-exchange-tortoise-square-ax3039-8029-54.html,12340,no,399,Glossy,,,Armani Exchange,Tortoise,Plastic,Square,Wide (>139 mm),Full Rim,54 mm,18 mm,Men,Glasses,No,141 mm,,,,,,,,,,,
Spectus ELTON Blue Light,https://eyewa.com/ae-en/spectus-elton-blue-light--000244-1404.html,61963,no,299,Glossy,,Clear,Spectus,Gray,Metal + Plastic,Round,Wide (>139 mm),Full Rim,52 mm,17 mm,Men,Blue Light Glasses,No,141.7 mm,,,,,,,,,,,
Spectus LOGAN Blue Light,https://eyewa.com/ae-en/spectus-logan-blue-light-000201-0400.html,60311,yes,299,Glossy,,Clear,Spectus,Yellow,Acetate,Rectangle,Normal (132-138 mm),Full Rim,53 mm,16 mm,"Men, Women",Blue Light Glasses,Yes,131 mm,149,,,,,,,,,,
Babamio ELISHA Blue Light 5 - 8 Years,https://eyewa.com/ae-en/babamio-elisha-blue-light-5-8-years-bab-000145-1114.html,59358,yes,299,Glossy,,Clear,Babamio,Red,Acetate,Cat Eye,Narrow (< 131 mm),Full Rim,48 mm,16 mm,Kids,Blue Light Glasses,No,126 mm,149,,,,,,,,,,
